name,place_id,formatted_address,latitude,longitude,rating,user_ratings_total,website,phone_number,search_query,search_location,category,planning_area,weighted_average_income,total_households,has_website,has_phone,has_rating,search_coverage
HomeTeamNS Fitness Workz Premium (Khatib),ChIJu4TogkkV2jERPTP40_6zWZw,"2 Yishun Walk, Singapore 767944",1.4149546,103.8314666,4.9,312,https://www.hometeamns.sg/fitnessworkz/khatib/,6705 9422,fitness_center,"Yishun, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
Extreme Fitness - Personal Training Yishun,ChIJ1T1nsHMV2jERmSyF7Wrb3MA,"1 Orchid Club Rd, #01-33 Orchid Country Club, Singapore 769162",1.4108748,103.84273,4.9,134,http://www.extremefitness.sg/,8522 6746,fitness_center,"Yishun, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
The Gym Pod @ Yishun Neighbourhood Park,ChIJISJXatQV2jER5v2IFLlISfM,"Yishun Ave 2, Ave, 7 and St, #22, Singapore 752106",1.4376839,103.8360082,3.8,11,https://www.thegympod.com/gym-near-me-yishun-neighbourhood-park/,,fitness_center,"Yishun, Singapore",Fitness Studio,SIMPANG,0.0,0.0,True,False,True,Local
Anytime Fitness Wisteria Mall,ChIJs4bytNYV2jERW1mqciXgNOE,"598 Yishun Ring Rd, #B1-26/27, Singapore 768698",1.4185227,103.840963,4.3,195,https://www.anytimefitness.sg/gyms/sg-0056/wisteria-north-west/,9615 5678,fitness_center,"Yishun, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
Yishun Fit Club,ChIJdYxrO24U2jERja657FDF61c,"757 Yishun Street 72, Block 757, Singapore 760757",1.4265841,103.8340538,1.0,1,http://www.fitclub.sg/fitclub_locations/,9383 8656,fitness_center,"Yishun, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
Anytime Fitness Kebun Baru CC,ChIJG818DiMX2jERLlftvSRz1as,"216 Ang Mo Kio Ave 4, #02-04 Kebun Baru Community Club, Singapore 569897",1.3731344,103.8372954,4.4,23,https://www.anytimefitness.sg/gyms/sg-0131/ang-mo-kio-central-singapore-569897/,8071 1983,fitness_center,"Ang Mo Kio, Singapore",Fitness Studio,ANG MO KIO,9398.25493644068,47200.0,True,True,True,Local
Sculpt Society,ChIJr9TDQRoX2jER27724MocRLs,"190 Ang Mo Kio Ave 8, #01-03 The Grassroots' Club, Singapore 568046",1.3806484,103.8465345,5.0,324,https://www.sculptsociety.com.sg/,8157 5447,fitness_center,"Ang Mo Kio, Singapore",Fitness Studio,ANG MO KIO,9398.25493644068,47200.0,True,True,True,Local
A fitness corner project by Ang Mo Kio - Yio Chu Kang Town Council,ChIJh0p9uD4X2jEReDsP9-USV3E,"436 Ang Mo Kio Ave 10, Block 436, Singapore 560436",1.3675346,103.8531065,0.0,0,,,fitness_center,"Ang Mo Kio, Singapore",Fitness Studio,SERANGOON,12015.227503718394,32272.0,False,False,False,Local
The Gym Pod @ Bishan-AMK Park,ChIJty-R2PUX2jERsb0r9syDxV0,"Ang Mo Kio Ave 1, Singapore",1.3654277,103.8380219,4.7,10,http://www.thegympod.com/,,fitness_center,"Ang Mo Kio, Singapore",Fitness Studio,BISHAN,12483.410944381014,24524.0,True,False,True,Local
Prakaipetch Muay Thai Academy @Ang Mo Kio,ChIJD2Y8IUoX2jERRzdeTUmjzCY,"5 Ang Mo Kio Central 2, @, #02-04 Dijitsun Mall, Singapore 569663",1.3728749,103.8476211,5.0,298,https://prakaipetch.com.sg/?utm_source=GMB_AMK&utm_medium=GMB&utm_campaign=Main_Page,8912 3383,fitness_center,"Ang Mo Kio, Singapore",Fitness Studio,ANG MO KIO,9398.25493644068,47200.0,True,True,True,Local
REVL Training Lower Pierce,ChIJ831dIB0X2jERhc4qo_BbCDY,"6 Jln Leban, Singapore 577549",1.3713573,103.8290676,5.0,30,https://revltraining.sg/location/lower-pierce/,9199 0789,fitness_center,"Ang Mo Kio, Singapore",Fitness Studio,ANG MO KIO,9398.25493644068,47200.0,True,True,True,Local
Nova Training,ChIJzaZpRzYX2jERJdYqChA6VbI,"Blk 213 Bishan St. 23, B1-235, Singapore 570213",1.3572815,103.8481263,4.9,60,https://www.novatraining.co/,8927 1499,fitness_center,"Bishan, Singapore",Fitness Studio,BISHAN,12483.410944381014,24524.0,True,True,True,Local
